Character,Pinyin,PSY_Tone,PSY_Rhyme,GY_Tone,GY_Rhyme,GY_ID,Gloss
不,bù,oblique|level,r05|xp11,level,xp18,w239b0507,"no, not"
人,rén,level,sp11,level,sp17,w147b0702,man
无,wú,level,sp07,level,sp10,w133a0502,"negative, no, not"
一,yī,oblique,r04,oblique,r05,w511b0706,one
山,shān,level,sp15,level,sp28,w161a0201,"mountain, hill, peak"
风,fēng,level,sp01,level,sp01,w109b0803,wind
日,rì,oblique,r17|r04,oblique,r05,w511b0304,sun
云,yún,level,sp12,level,sp20,w151b0305,"say, speak"
有,yǒu,oblique,r17|s25,oblique,s44,w345a0301,"have, own, possess"
何,hé,level,xp05,level,xp07,w216a0307,"what, why, where, which, how"
来,lái,level,sp10,level,sp16,w146a1002,"come, coming"
天,tiān,level,xp01,level,xp01,w202a0303,"sky, heaven"
中,zhōng,oblique|level,sp01|q01,level,sp01,w108b0407,central
时,shí,level,sp04,level,sp07,w126a0304,"time, season"
花,huā,level,xp06,level,xp09,w218b0401,flower
上,shàng,oblique,q23|s22,oblique,s36,w341a0402,top
春,chūn,level,sp11,level,sp18,w150b0205,spring
水,shuǐ,oblique,r17|s04,oblique,s05,w309a0301,"water, liquid, lotion, juice"
月,yuè,oblique,r06|r17,oblique,r10,w516a0601,moon
相,xiāng,oblique|level,xp07|q23,level,xp10,w223a0502,"mutual, reciprocal, each other"
生,shēng,level,xp08,level,xp12,w229a0101,"life, living, lifetime"
为,wèi,oblique|level,sp04|r17|q04,level,sp05,w117a1005,"do, handle, govern, act"
心,xīn,level,xp12,level,xp21,w244b0707,heart
自,zì,oblique,q04,oblique,q06,w409a1007,"self, private, personal"
年,nián,oblique|level,r17|xp01,level,xp01,w202b0905,year
如,rú,oblique|level,sp06|q06,level,sp09,w132a0302,"if, supposing"
君,jūn,level,sp12,level,sp20,w152a0704,"sovereign, monarch, ruler, chief, prince"
长,zhǎng,oblique|level,q23|xp07|s22,level,xp10,w222b0303,long
知,zhī,level,sp04,level,sp05,w121a0105,"know, perceive, comprehend"
白,bái,oblique,r11,oblique,r20,w532b0309,white
归,guī,level,sp05,level,sp08,w129b0204,return
此,cǐ,oblique,s04,oblique,s04,w306a1002,"this, these"
见,jiàn,oblique,q17,oblique,q32,w435a1003,"see, observe, behold"
行,xíng,oblique|level,xp08|xp07|q23|q24,level,xp11,w226b0702,go
秋,qiū,level,xp11,level,xp18,w237b0203,"autumn, fall"
去,qù,oblique,s06|q06,oblique,s08,w314a0701,"go away, leave, depart"
得,dé,oblique,r13,oblique,r25,w542a0303,"obtain, get, gain, acquire"
清,qīng,level,xp08,,,,"clear, pure, clean"
空,kōng,oblique|level,s01|sp01|q01,level,sp01,w110a0504,"empty, hollow, bare, deserted"
在,zài,oblique,s10|r17|q11,oblique,s15,w321b0802,"be at, in, on"
夜,yè,oblique,q22,oblique,q40,w442b0906,"night, dark"
下,xià,oblique,q22|s21,oblique,s35,w338b0604,"under, underneath, below"
江,jiāng,level,sp03,level,sp04,w115b0701,large river
高,gāo,level,xp04,,,,"high, tall"
是,shì,oblique,s04,oblique,s04,w305a0103,"indeed, yes, right"
未,wèi,oblique,q05,oblique,q08,w410b0901,not yet
里,lǐ,oblique,q04|s04,oblique,s06,w310b0601,unit of distance
金,jīn,level,xp12,level,xp21,w245a1002,gold
明,míng,level,xp08,level,xp12,w228b0405,"bright, light, brilliant"
处,chù,oblique,s06|q06,oblique,s08,w313a0604,"place, locale"
多,duō,level,xp05,level,xp07,w215a0503,"much, many"
门,mén,level,sp13,level,sp23,w155a0503,"gate, door, entrance, opening"
青,qīng,level,xp09,,,,"blue, green"
子,zi,oblique,s04,oblique,s06,w311a0904,"offspring, child"
三,sān,oblique|level,xp13|q28,level,xp23,w247b0401,three
玉,yù,oblique,r02,oblique,r03,w508a0404,"jade, precious stone, gem"
寒,hán,level,sp14,level,sp25,w156b0901,"cold, wintry, chilly"
道,dào,oblique,s19,oblique,s32,w335a0906,"path, road, street"
客,kè,oblique,r11,oblique,r20,w533a0704,"guest, traveller"
声,shēng,level,xp08,level,xp14,w231b0305,"sound, voice, noise"
家,jiā,oblique|level,xp06|r17,level,xp09,w218b0701,"house, home, residence"
千,qiān,level,xp01,level,xp01,w201b0806,thousand
落,luò,oblique,r10,oblique,r19,w530a0302,"fall, drop"
