Character,pinyin,Tang_diversity,Song_diversity,Yuan_diversity,Ming_diversity,Qing_diversity,Tang_CD%,Song_CD%,Yuan_CD%,Ming_CD%,Qing_CD%,gloss
不,bù,20592,132816,21854,98768,47156,0.4092779202194264,0.4351940443267756,0.4114778482800173,0.387847182681018,0.39988467148332824,"no, not"
人,rén,18365,114350,20822,91618,49903,0.36501500606205156,0.37468707812889107,0.3920468452862872,0.35977020070133553,0.4231793358434246,man
无,wú,14269,97263,15943,63887,37747,0.28360463498499394,0.3186986382164436,0.30018263636534803,0.25087470597705935,0.32009599403005323,"negative, no, not"
一,yī,13728,111728,17552,82629,50731,0.27285194681295094,0.3660956525158263,0.33047767882359586,0.3244717404194662,0.4302008072996167,one
山,shān,14781,89026,18781,84423,38180,0.29378093136962613,0.29170871724969527,0.35361789459810583,0.33151651044345926,0.32376785047997014,"mountain, hill, peak"
风,fēng,15012,102224,21343,91811,49536,0.29837219009003635,0.3349541921700722,0.4018564892395172,0.36052808287225563,0.42006716190088533,wind
日,rì,13541,70102,14582,71469,27928,0.269135213563095,0.22970103673801068,0.2745570597428028,0.2806480874274023,0.23683050100064448,sun
云,yún,12618,66712,17005,77582,32068,0.25079005426033035,0.21859312948084458,0.320178494097268,0.30465292530737426,0.2719378582816051,"say, speak"
有,yǒu,11355,86166,14662,65135,31154,0.22568719813964583,0.2823374444604637,0.27606333904464236,0.25577541555896754,0.26418710355822395,"have, own, possess"
何,hé,11614,71228,12524,65357,30521,0.23083497306859063,0.23339056581516968,0.23580802470298054,0.256647176398057,0.25881923951019303,"what, why, where, which, how"
来,lái,11876,81283,14485,65257,31702,0.23604237473416415,0.2663374706738142,0.2727306960893224,0.25625449133540407,0.26883416437705643,"come, coming"
天,tiān,10870,72681,15369,69501,36945,0.21604754238467194,0.23815156559235617,0.2893750823746493,0.27292004539439324,0.31329500356161594,"sky, heaven"
中,zhōng,10727,60734,12072,54646,24528,0.2132053346053704,0.1990052033500662,0.22729754664758714,0.2145866793373047,0.2079983718327058,central
时,shí,10698,61483,10505,48536,24717,0.21262894281795958,0.20145942828682648,0.19779330082280508,0.1905936220092124,0.20960109901292356,"time, season"
花,huā,10708,60043,13388,62193,37533,0.21282769860672193,0.19674102520413647,0.25207584116284765,0.24422262101571918,0.3182812659000712,flower
上,shàng,10502,49578,11789,49523,21622,0.20873332935821756,0.16245068613444827,0.22196908361732975,0.19446942357759653,0.1833553814321088,top
春,chūn,10550,61572,12575,57329,29413,0.20968735714427683,0.20175105181068717,0.23676827775790327,0.22512241956828205,0.24942335741664123,spring
水,shuǐ,10555,52622,12306,54857,26578,0.209786735038658,0.17242486598424578,0.23170341360546778,0.2154152448195023,0.2253824497133747,"water, liquid, lotion, juice"
月,yuè,10529,55177,12746,58423,28258,0.2092699699878759,0.18079675478721313,0.2399879497655853,0.2294183941537048,0.23962891353753266,moon
相,xiāng,8817,48931,9188,42146,20471,0.17524297895176197,0.1603306814160452,0.17299617781627158,0.16550104650569197,0.17359485770496252,"mutual, reciprocal, each other"
生,shēng,8785,60628,11918,47175,25377,0.17460696042772245,0.19865787645647928,0.22439795899154602,0.1852491783065064,0.2151979240866999,"life, living, lifetime"
为,wèi,8295,51786,8935,41879,17590,0.16486792677836742,0.16968557086123964,0.168232569524204,0.1644525773884087,0.14916386825412978,"do, handle, govern, act"
心,xīn,8891,48187,8745,43374,24467,0.17671377178860334,0.15789283982332203,0.16465515618233512,0.17032321907506962,0.20748108951528102,heart
自,zì,8764,61964,10060,50486,21310,0.17418957327132154,0.20303550598319725,0.1894146222063226,0.19825098073094397,0.1807096095790509,"self, private, personal"
年,nián,8462,60068,10524,51233,27297,0.16818714845069863,0.19682294192432206,0.19815104215699195,0.20118433814896114,0.2314795970285947,year
如,rú,7812,59660,11115,42649,25782,0.15526802218114602,0.19548606105089322,0.2092786804993316,0.16747625237083608,0.21863233947288083,"if, supposing"
