Character,pinyin,Raw_Tang,Raw_Song,Raw_Yuan,Raw_Ming,Raw_Qing,PerMillion_Tang,PerMillion_Song,PerMillion_Yuan,PerMillion_Ming,PerMillion_Qing,Gloss
不,bù,30629,208915,33127,145270,72299,10594.988749158996,11131.694475521968,9282.91987018988,8800.486483283921,8089.299040795023,"no, not"
人,rén,23625,155373,27985,123038,69399,8172.209644418078,8278.796475816838,7842.017465127051,7453.667349971,7764.827509815264,man
无,wú,18734,130417,21345,81963,49972,6480.346052001198,6949.056785841843,5981.342247387419,4965.3354004915,5591.203912455343,"negative, no, not"
一,yī,17687,151823,22907,107959,70034,6118.1744753787325,8089.6405253675985,6419.049279030386,6540.178428091478,7835.875586426349,one
山,shān,17581,115362,24961,110401,51825,6081.50762999002,6146.875705838093,6994.625618975749,6688.115290431805,5798.530032077927,"mountain, hill, peak"
风,fēng,16997,122393,25864,110633,60380,5879.494066716363,6521.511054460237,7247.666239701485,6702.169898156193,6755.721048468215,wind
日,rì,16381,86323,18269,89560,34672,5666.411267098943,4599.580031163309,5119.378848326107,5425.5632232595035,3879.336869700065,sun
云,yún,14731,78712,20694,94606,38093,5095.653768123712,4194.040330073404,5798.9176138409575,5731.250941264946,4262.101389521359,"say, speak"
有,yǒu,14705,113793,19527,85244,41229,5086.660013594405,6063.274104076161,5471.89833987979,5164.099055421317,4612.978189918781,"have, own, possess"
何,hé,14045,88027,15455,81710,38370,4858.357014004313,4690.3748873789455,4330.833658157534,4950.008608447231,4293.094015066667,"what, why, where, which, how"
来,lái,13933,98897,17350,78426,38723,4819.6146868011465,5269.565079317886,4861.854672858829,4751.063212900288,4332.590032458342,"come, coming"
天,tiān,13637,92020,20098,89302,48153,4717.224250621347,4903.135369109597,5631.905199718545,5409.933530186693,5387.681941816661,"sky, heaven"
中,zhōng,12851,73330,14735,66622,30408,4445.336132927691,3907.2692525190914,4129.073694788176,4035.9744647163316,3402.2518324249995,central
时,shí,12789,75269,12630,58648,30072,4423.889487511653,4010.5856998208023,3539.2060241041504,3552.9079043961965,3364.657889525276,"time, season"
花,huā,12646,75234,16655,77015,48821,4374.423837600466,4008.7207819994724,4667.10026377313,4665.584542645497,5462.422280676826,flower
上,shàng,12314,57540,14004,58270,25472,4259.580510533935,3065.9248982674007,3924.231287534008,3530.008586638357,2849.9789093504864,top
春,chūn,12219,75107,15079,69134,37289,4226.718715138391,4001.953794476359,4225.470121731314,4188.151941456259,4172.144454725592,spring
水,shuǐ,12108,61652,14564,65165,31689,4188.322301570966,3285.0261005905772,4081.1557034879534,3947.709104998945,3545.578739730196,"water, liquid, lotion, juice"
月,yuè,12034,64991,15030,68614,32685,4162.724692526017,3462.9392607455097,4211.739235335343,4156.650234487802,3657.0179276115205,moon
相,xiāng,10888,59388,11022,51690,25250,3766.3076659650383,3164.392559233653,3088.6087725792518,3131.390833075968,2825.140054220312,"mutual, reciprocal, each other"
生,shēng,10883,74692,14803,58659,32428,3764.5780977863255,3979.841197452011,4148.128802439726,3553.574286658991,3628.2630367626243,"life, living, lifetime"
为,wèi,10840,66208,11537,54295,23063,3749.7038114493957,3527.785117561489,3232.923190822612,3289.2022689467926,2580.4437651676453,"do, handle, govern, act"
心,xīn,10646,56917,10210,51151,28953,3682.596566115338,3032.7293610477172,2861.0683694460317,3098.7381021990495,3239.4566332610175,heart
自,zì,10389,75293,11875,60532,25580,3593.696761729499,4011.8645006125726,3327.6382847376713,3667.0410119511416,2862.062676711112,"self, private, personal"
年,nián,10291,73860,12950,62693,35176,3559.7972254267274,3935.5094366706676,3628.8771189349764,3797.954836487361,3935.727784049651,year
如,rú,10114,77989,14395,54164,33610,3498.5705119002937,4155.516456221347,4033.798156530424,3281.26626199897,3760.5131573205813,"if, supposing"
君,jūn,10083,52575,9029,51646,18492,3487.8471891922745,2801.3729844700833,2530.1259850860156,3128.725304024791,2069.0095003026536,"sovereign, monarch, ruler, chief, prince"
长,zhǎng,9963,49283,11404,55941,22981,3446.337552903167,2625.9641425323653,3195.6536420335497,3388.917287543098,2571.2690529123556,long
知,zhī,9900,65860,9070,45015,20325,3424.5449938513852,3509.242506080831,2541.615094111215,2727.0179599712656,2274.0978852288254,"know, perceive, comprehend"
白,bái,9277,43580,12950,57232,17963,3209.0407987837675,2322.0891043881356,3628.8771189349764,3467.1263331128616,2009.8214175825528,white
归,guī,9143,55710,10131,43015,21364,3162.688371594264,2968.4163378949756,2838.9308179096715,2605.8575485541264,2390.348202707435,return
此,cǐ,9030,62144,8660,44129,25044,3123.6001307553543,3311.2415168218517,2426.72400385922,2673.343897713473,2802.091386847267,"this, these"
见,jiàn,8819,49840,8725,38878,18378,3050.6123536136733,2655.642977574683,2444.938444996731,2355.237237537773,2056.2544125331046,"see, observe, behold"
行,xíng,8670,49244,9257,41056,17978,2999.0712218880312,2623.88609124574,2594.016640152979,2487.180925571038,2011.4997186048618,go
秋,qiū,8606,45132,10966,52659,28804,2976.932749200507,2404.7848889225643,3072.9163309838573,3190.0930524075725,3222.7855097727465,"autumn, fall"
去,qù,8534,48368,8705,37101,20083,2952.0269674270426,2577.209862346153,2439.3340015698045,2247.586211993645,2247.021295402238,"go away, leave, depart"
得,dé,8516,62664,9654,37155,21381,2945.8005219836764,3338.948867310191,2705.264842177472,2250.857543101908,2392.250277199386,"obtain, get, gain, acquire"
清,qīng,8331,58447,12166,47752,22574,2881.806499371302,3114.252911523023,3409.1829365994536,2892.825982995621,2525.731151840369,"clear, pure, clean"
空,kōng,8294,44699,9502,40539,22516,2869.007694848827,2381.713191304389,2662.67107213283,2455.860959219707,2519.241721220774,"empty, hollow, bare, deserted"
在,zài,8205,42969,8501,39194,16411,2838.2213812677387,2289.5329675643366,2382.168678615153,2374.380582541681,1836.1732051409717,"be at, in, on"
夜,yè,8132,39323,9414,42478,21284,2812.9696858585316,2095.261813948019,2638.0115210543527,2573.325978088624,2381.397263921787,"night, dark"
下,xià,8092,44044,9376,40233,18096,2799.1331404288294,2346.812586362346,2627.363078543192,2437.3234162728854,2024.7023533136935,"under, underneath, below"
江,jiāng,7961,46838,11107,53168,25170,2753.818454146553,2495.686311870847,3112.42765714369,3220.9283771132345,2816.189115434663,large river
高,gāo,7878,42689,9378,47115,19055,2725.10762237992,2274.6136249936926,2627.9235228858847,2854.2363919592617,2132.001732006655,"high, tall"
是,shì,7701,52818,7524,37287,21807,2663.8809088534863,2814.3208424867494,2108.391617209789,2258.854130255439,2439.914026232964,"indeed, yes, right"
未,wèi,7645,61574,7902,41967,22260,2644.509745251903,3280.869998017326,2214.3155979787016,2542.3694929715452,2490.598717106698,not yet
里,lǐ,7643,43090,8928,44373,21519,2643.817917980418,2295.980254889508,2501.8235457800365,2688.1254679063636,2407.6906466046294,unit of distance
金,jīn,7635,34692,9445,37885,17058,2641.050608894477,1848.5065445028272,2646.698408366089,2295.081093269164,1908.563922569904,gold
明,míng,7589,46267,9788,42591,19377,2625.1385816503193,2465.261509699997,2742.8146131378803,2580.171541333693,2168.0292606188905,"bright, light, brilliant"
处,chù,7365,43309,7186,33873,20374,2547.653927243985,2307.649312114405,2013.676523294729,2052.033307966382,2279.580335235035,"place, locale"
多,duō,7351,36018,7148,35679,17494,2542.811136343589,1919.1602882480925,2003.0280807835686,2161.4411594760586,1957.3465389516884,"much, many"
门,mén,7218,35542,7149,38382,16312,2496.804622789828,1893.7974058779973,2003.3083029549148,2325.1894555063227,1825.0964183937315,"gate, door, entrance, opening"
青,qīng,7080,39069,10708,47443,20242,2449.068541057354,2081.7278389017915,3000.619010776504,2874.1066994316725,2264.8112862387147,"blue, green"
子,zi,7075,53718,10142,44669,18696,2447.338972878641,2862.275872178106,2842.013261794481,2706.0572087961004,2091.8343942060574,"offspring, child"
三,sān,6999,51024,8766,42075,20162,2421.0495365622064,2718.7304833019784,2456.427554021931,2548.9121551880708,2255.8603474530664,three
玉,yù,6942,41444,9663,39747,18388,2401.3324593248803,2208.275833920649,2707.7868417195887,2407.8814362985204,2057.3732798813107,"jade, precious stone, gem"
寒,hán,6866,45006,8272,37407,22179,2375.0430230084453,2398.071184765774,2317.9978013768437,2266.1237549404673,2481.5358915862294,"cold, wintry, chilly"
道,dào,6866,37623,7705,33486,13500,2375.0430230084453,2004.6800911976784,2159.111830223474,2028.5887683571652,1510.4709200781865,"path, road, street"
客,kè,6864,36161,7447,38615,15240,2374.35119573696,1926.7798096323859,2086.814510016121,2339.3046434364196,1705.1538386660416,"guest, traveller"
声,shēng,6767,36982,7029,33688,22361,2340.797573069932,1970.5254533841678,1969.681642393355,2040.8259699102966,2501.8992773235796,"sound, voice, noise"
家,jiā,6740,42615,8674,37272,18648,2331.457904904882,2270.670655885737,2430.6471142580685,2257.9454271698105,2086.463830934668,"house, home, residence"
千,qiān,6716,47974,9098,46378,20686,2323.155977647061,2556.2162160146036,2549.4613149089128,2809.588780352046,2314.4889964990643,thousand
落,luò,6715,34474,8413,35919,19870,2322.810064011318,1836.890770644254,2357.5091275366763,2175.9804088461156,2223.189420885449,"fall, drop"
事,shì,6676,53001,7325,33391,20110,2309.3194322173586,2824.0716985239924,2052.627405111869,2022.8336488148511,2250.042237242395,"affair, matter, business"
今,jīn,6672,53181,8162,38987,20151,2307.935777674388,2833.6627044622637,2287.1733625287475,2361.8404799600075,2254.6295933700394,"now, today, modern era"
雨,yǔ,6493,49957,11324,45533,26291,2246.017236876469,2661.8771314345595,3173.2358683258435,2758.3985065283046,2941.614145168563,rain
万,wàn,6431,46862,8695,41127,19371,2224.57059146043,2496.965112662616,2436.5317798563415,2491.4821201763466,2167.3579402099667,ten thousand
我,wǒ,6400,62678,9915,42405,24386,2213.847268752411,3339.6948344387233,2778.4028288988643,2568.903623071899,2728.4699153353076,"our, us, i, me, my, we"
前,qián,6376,37105,7050,34164,18760,2205.5453414945887,1977.0793074419864,1975.566307991628,2069.6621478275756,2098.9951452345763,"in front, forward"
朝,cháo,6363,29236,5961,29732,12967,2201.0484642299357,1557.7924978405583,1670.4043633954743,1801.1706761271948,1450.8352904188032,dynasty
远,yuǎn,6247,25183,5564,29624,13100,2160.9224824837984,1341.8350141304825,1559.1561613709814,1794.628013910669,1465.716226149944,"distant, remote, far"
出,chū,6231,33951,7207,31396,13558,2155.387864311917,1809.0235700569433,2019.561188893002,1901.9761384262547,1516.9603506977817,"go out, send out"
南,nán,6191,36894,8579,40645,18338,2141.5513188822147,1965.8365171476796,2404.026007980167,2462.2824610248163,2051.7789431402803,south
入,rù,6139,29372,5881,27913,13559,2123.5638098236013,1565.0390356605856,1647.986589687768,1690.9752819433063,1517.0722374326022,"enter, come in(to), join"
深,shēn,6083,33697,7126,32441,16439,2104.1926462220176,1795.489595010716,1996.8631930139493,1965.28245339171,1839.3060337159486,deep
东,dōng,6040,35951,8289,37404,18765,2089.318359885088,1915.5903027044026,2322.761578289731,2265.9420143233415,2099.554578908679,"east, eastern, eastward"
尽,jǐn,6031,31218,5835,26379,16760,2086.2051371634047,1663.4001298941905,1635.096369805837,1598.0452463863605,1875.2216755933634,"exhaust, use up"
飞,fēi,6010,34240,8421,37392,18002,2078.9409508128106,1824.4224629245014,2359.750904907447,2265.2150518548387,2014.1850002405567,fly
与,yǔ,5964,48241,6937,29941,16412,2063.0289235686528,2570.4428748230393,1943.9012026294927,1813.8319391202858,1836.2850918757924,and
路,lù,5929,25557,4848,25817,12441,2050.921946317663,1361.7629931355573,1358.517086687009,1563.9991707781442,1391.982867903164,"road, path, street"
新,xīn,5845,38545,5876,31743,17524,2021.8652009152872,2053.8073549481574,1646.5854788310364,1922.9974698071285,1960.7031409963065,"new, recent, fresh, modern"
烟,yān,5818,28471,6807,32898,20870,2012.5255327502382,1517.0307226029051,1907.47232035447,1992.9676074005265,2335.076155706056,"smoke, soot"
草,cǎo,5817,26674,6875,31256,14398,2012.1796191144956,1421.2805133191632,1926.5274280060203,1893.494909627055,1610.9452079470911,"grass, straw, thatch, herbs"
开,kāi,5776,31861,6501,33184,13797,1997.9971600490505,1697.6613344403486,1821.7243359224929,2010.2935462331775,1543.7012803199066,open
地,dì,5713,33414,6094,29845,15849,1976.204600997269,1780.4104023411005,1707.6739121845362,1808.016239372263,1773.2928601717908,earth
流,liú,5713,34247,7373,37734,18504,1976.204600997269,1824.7954464887673,2066.0780693364927,2285.9334822071696,2070.3521411205006,"flow, circulate, drift"
城,chéng,5704,24334,5898,29805,13861,1973.0913782755858,1296.597436121636,1652.7503666006555,1805.5930311439201,1550.8620313484255,castle
树,shù,5695,18279,7049,31626,14301,1969.978155553903,973.9666530314532,1975.2860858202816,1915.9095857392258,1600.092194669492,tree
思,sī,5677,24405,5379,26787,14549,1963.7517101105368,1300.380555130621,1507.3150596719104,1622.761970315457,1627.8401049050026,"think, consider, ponder"
已,yǐ,5601,45947,5951,30327,15998,1937.4622737941017,2448.2108324764035,1667.6021416820113,1837.2158985237936,1789.9639836600613,already
谁,shuí,5552,45255,7426,38220,21056,1920.5125056427162,2411.338742980383,2080.929844417848,2315.3754621815347,2355.8870883826885,who? whom? whose? anyone?
欲,yù,5550,38926,5954,30701,14580,1919.820678371231,2074.108317517498,1668.4428081960502,1859.8728954587987,1631.3085936844413,"desire, want, long for"
将,jiāng,5528,25013,5173,26652,12215,1912.2105783848945,1332.7768418554483,1449.5892923745662,1614.5836425447999,1366.6964658337072,"will, going to, future"
色,sè,5488,25388,5741,31752,13048,1898.3740329551922,1352.7581042268469,1608.755485699282,1923.5426916585054,1459.8981159392724,"color, tint, hue, shade"
回,huí,5480,26144,5353,27227,15216,1895.6067238692517,1393.0403291675866,1500.0292832169057,1649.4172608272274,1702.4685570303473,"return, turn around"
别,bié,5477,17842,3878,22323,10778,1894.568982962024,950.6818219479834,1086.7015804810687,1352.3319320324015,1205.915227896496,"separate, other"
酒,jiǔ,5464,39939,8137,35386,17226,1890.0721056973705,2128.084367603436,2280.167808245089,2143.691159203448,1927.360894019766,"wine, spirits, liquor, alcoholic beverage"
西,xī,5427,34105,7804,33144,17655,1877.2733011748956,1817.2292084707979,2186.8538251867612,2007.8703380048344,1975.3603032578062,west(ern)
还,hái,5419,26825,4932,29755,13714,1874.505992088955,1429.3263016340463,1382.0557490801007,1802.5640208584919,1534.4146813297962,"still, yet, also, besides"
可,kě,5404,48172,7075,32820,16805,1869.3172875528167,2566.7663225467018,1982.571862275286,1988.242351355258,1880.2565786602906,"may, can, -able"
成,chéng,5379,37648,6681,29154,17508,1860.6694466592526,2006.0121753557717,1872.1643267648321,1766.1553172276415,1958.9129532391769,"completed, finished, fixed"
应,yīng,5295,26925,3975,22705,9105,1831.6127012568772,1434.6546382664194,1113.8831311016627,1375.4735706130753,1018.7287205416213,"should, ought to, must"
马,mǎ,5261,22481,6402,29192,12179,1819.85163764163,1197.863358323765,1793.982340959206,1768.457365044567,1362.6685433801654,horse
闻,wén,5240,23817,4235,23145,10443,1812.5874512910361,1269.0499357322676,1186.7408956517086,1402.128861124846,1168.4331717315927,hear
闲,xián,5230,17045,2393,7123,7056,1809.1283149336105,908.214978987971,670.5716560317682,431.5128052621421,789.4728008941988,"fence, guard"
更,gèng,5217,41347,5375,26013,16462,1804.6314376689572,2203.1073473872475,1506.194170986525,1575.872891097024,1841.8794286168227,"more, still further, much more"
独,dú,5209,24488,5024,25951,11280,1801.8641285830167,1304.8030745354902,1407.836188843963,1572.1169183430927,1262.0823687764403,"alone, single, solitary, only"
身,shēn,5154,30847,4536,20819,11815,1782.8388786171756,1643.6320009880867,1271.0877692269537,1261.2193026467128,1321.9417719054647,body
光,guāng,5085,29459,7085,31247,14598,1758.970837750939,1569.67468853075,1985.3740839887498,1892.9496877756778,1633.3225549112121,"light, brilliant, shine"
香,xiāng,5076,34846,6600,27571,21152,1755.8576150292556,1856.7121829166813,1849.4663308857794,1670.2568515909757,2366.6282149254666,"fragrant, sweet-smelling"
重,zhòng,5060,30216,5899,29404,18681,1750.3229968573746,1610.0101968378135,1653.0305887720021,1781.3003686547838,2090.156093183748,"heavy, weighty"
向,xiàng,5056,21953,4076,24475,11377,1748.9393423144045,1169.7297409048358,1142.185570407642,1482.7005347172437,1272.935382054039,"toward, direction, trend"
同,tóng,5000,29066,4934,28961,14914,1729.5681787128208,1548.7343255655244,1382.6161934227932,1754.4633375258875,1668.678763114524,"same, similar"
满,mǎn,4916,24745,6382,24443,11488,1700.5114333104452,1318.4968996806888,1788.3778975322796,1480.7619681345693,1285.3548096191264,fill
看,kàn,4911,35143,5947,32539,15633,1698.7818651317327,1872.537342714829,1666.481252996626,1971.21931355115,1749.1253254505398,"look, see"
阳,yáng,4878,22840,5208,24975,13684,1687.366715152228,1216.9920868339839,1459.3970683716877,1512.9906375715286,1531.058079285178,'male' principle
石,shí,4877,26715,7231,33029,13847,1687.0208015164853,1423.465131338436,2026.286521005314,2000.9036143483493,1549.2956170609368,"stone, rock, mineral"
雪,xuě,4769,29986,6247,24640,11809,1649.6621288562883,1597.7550225833554,1750.5479044005249,1492.6962686591578,1321.270451496541,snow
情,qíng,4766,24823,5263,27428,18255,1648.6243879490607,1322.6530022539396,1474.8092877957358,1661.59388217465,2042.49234415017,"feeling, sentiment, emotion"
愁,chóu,4762,23176,4458,21752,20226,1647.2407334060906,1234.895297918757,1249.23043986194,1317.7406345728084,2263.021098481585,anxiety
老,lǎo,4732,56930,9169,34624,17300,1636.8633243338136,3033.422044809926,2569.357089074502,2097.5290424535174,1935.640512396491,"old, aged"
望,wàng,4723,19904,4238,25502,12099,1633.7501016121305,1060.552123307514,1187.5815621657473,1544.9164059799448,1353.717604594517,"to look at, look forward"
海,hǎi,4720,24349,7707,36779,19254,1632.7123607049027,1297.396686616492,2159.6722745661673,2228.0793857554854,2154.2671922359555,"sea, ocean"
红,hóng,4712,26109,5066,20153,21757,1629.9450516189622,1391.175411346256,1419.605520040509,1220.8728856448054,2434.3196894919333,"red, vermillion"
衣,yī,4683,23049,5583,24720,12032,1619.913556182428,1228.1283103956434,1564.4803826265615,1497.5426851158434,1346.2211933615363,"clothes, clothing"
游,yóu,4675,28978,5479,29752,13109,1617.1462470964875,1544.0453893290362,1535.3372768065433,1802.382280241366,1466.7232067633295,to swim
头,tóu,4674,36453,7085,28263,15874,1616.800333460745,1942.3385525989147,1985.3740839887498,1712.1783539413057,1776.090028542306,head
从,cóng,4655,33071,5030,27061,11162,1610.2279743816362,1762.1342076920614,1409.517521872041,1639.360946679605,1248.8797340676085,"from, by, since, whence, through"
书,shū,4643,36346,6622,30804,15300,1606.0770107527253,1936.6372324022757,1855.6312186553987,1866.1126566467815,1711.867042755278,"book, letter, document"
林,lín,4533,28856,6607,30671,10911,1568.0265108210433,1537.544818637541,1851.427886085204,1858.0554892875416,1220.7961636276366,"forest, grove"
难,nán,4497,27038,4171,22740,18717,1555.573619934311,1440.6756586610006,1168.8066766855434,1377.5938778128752,2094.18401563729,"difficult, arduous, hard"
古,gǔ,4497,35358,6932,31128,16540,1555.573619934311,1883.9932664744308,1942.5000917727612,1885.740643296358,1850.6065939328298,"old, classic, ancient"
莫,mò,4432,27459,4364,23271,10552,1533.0892336110444,1463.107955883291,1222.8895557553851,1409.7619670441259,1180.6288258270388,"do not, is not, can not"
