Character,Tang&Song,Tang&Yuan,Tang&Ming,Tang&Qing
一,0.681404,0.60582894,0.64194524,0.58379805
丁,0.5550034,0.50264746,0.50175655,0.46188194
七,0.5754156,0.54618883,0.59463954,0.5533771
万,0.6337011,0.6071311,0.70475215,0.5974375
丈,0.6402464,0.5350045,0.5726665,0.495175
三,0.6538671,0.52756083,0.6059625,0.57465184
上,0.6613466,0.63676214,0.66120505,0.6637975
下,0.6736617,0.56348443,0.626815,0.57696253
不,0.72476673,0.6413436,0.7348393,0.6422703
与,0.58596134,0.5173743,0.6551691,0.5404376
丐,0.31485653,0.33845353,0.35176316,0.3441393
丑,0.48657745,0.49988285,0.46839762,0.3988347
专,0.47052824,0.35683942,0.47244036,0.46023244
且,0.5686635,0.48599666,0.6185397,0.5435756
丕,0.5228061,0.4771386,0.50049925,0.5862751
世,0.6162832,0.5942712,0.6877541,0.59989774
丘,0.566022,0.4878093,0.5410136,0.48697525
丙,0.3901478,0.3764056,0.415561,0.38102943
业,0.5995159,0.5980146,0.6200984,0.5965181
丛,0.5817708,0.48986304,0.59062564,0.475541
东,0.66991085,0.64465904,0.6950147,0.61491704
丝,0.7154848,0.6556852,0.68609405,0.6139992
丞,0.53323376,0.46350348,0.48078036,0.48259386
两,0.6405561,0.56471246,0.6344206,0.58202463
严,0.548856,0.55363405,0.59780264,0.49936208
丧,0.5251248,0.48179087,0.5671797,0.5585195
个,0.56626153,0.4763443,0.46962935,0.45074958
中,0.571883,0.60385305,0.6335936,0.55144215
丰,0.58963823,0.451784,0.56623733,0.52536213
丱,0.44649833,0.4242456,0.29753685,0.40147364
串,0.37850225,0.45543495,0.48371506,0.43263397
临,0.6306868,0.6019362,0.6553625,0.47601902
丸,0.48285434,0.563141,0.45443514,0.44332448
丹,0.650002,0.57132035,0.6182064,0.5495345
为,0.5931685,0.57010734,0.6320479,0.5539651
主,0.5576873,0.55342305,0.59968376,0.52939445
丽,0.60813165,0.5543632,0.60752356,0.52560854
举,0.5628653,0.5387217,0.5530071,0.5037679
乂,0.47067472,0.48694953,0.38461766,0.44094223
乃,0.539302,0.49466735,0.49555844,0.41049027
久,0.6084946,0.5088789,0.6506494,0.6071782
么,0.43224812,0.3906209,0.2937266,0.3690698
义,0.55777776,0.56155956,0.5602616,0.57565045
之,0.61656547,0.5744078,0.65874016,0.562327
乌,0.56924987,0.5782467,0.55297405,0.46521664
乍,0.54169154,0.43315983,0.5432935,0.4818225
乎,0.49980912,0.44679472,0.49943197,0.48371762
乏,0.531747,0.46523422,0.5110322,0.45088166
乐,0.6185117,0.5272159,0.61495906,0.55208707
乔,0.5471784,0.5492871,0.5332241,0.5134622
乖,0.49483865,0.42754135,0.575108,0.39443672
乘,0.61226314,0.5709507,0.62297904,0.5132235
乙,0.46293268,0.4790352,0.4747898,0.47804034
九,0.64488345,0.5566646,0.63314366,0.61916536
乞,0.47898057,0.47668976,0.46271533,0.3714978
也,0.47471663,0.35657692,0.43826714,0.48125288
习,0.46814412,0.44938922,0.45203227,0.35062063
乡,0.61794734,0.5694155,0.65247357,0.59854907
书,0.70742536,0.61530995,0.7312992,0.65926415
