Character,pinyin,Gloss,Tang_left_entropy,Tang_right_entropy,Song_left_entropy,Song_right_entropy,Yuan_left_entropy,Yuan_right_entropy,Ming_left_entropy,Ming_right_entropy,Qing_left_entropy,Qing_right_entropy
不,bù,"no, not",9.43327355567278,8.032975282347577,9.825325436707969,8.355279539514385,9.564399887958523,8.13118221739922,9.643697697075028,8.174205932041277,9.777516474450621,8.337710949316588
人,rén,man,8.284874635744126,8.79248604363802,8.565031774229274,8.914016315148569,8.196981773127378,8.816233011887327,8.442790514766225,9.035978628862,8.714358551176321,9.072224125870417
无,wú,"negative, no, not",9.30877130086513,8.57100132619607,9.499536337113275,8.956764171390228,9.382857591297793,8.767710834293586,9.513560149977108,8.83743833308736,9.604332091870944,8.458278880233983
一,yī,one,9.342231374078828,8.662975237296644,9.55203736388381,8.975691406298232,9.321511925004982,8.681781896333433,9.552154499533565,8.890548642539766,9.62279553323619,8.819566371461097
山,shān,"mountain, hill, peak",8.296128559369322,8.879574084217056,8.611321146443458,9.045633843958418,8.343486255405155,8.670499713465341,8.37605598999709,8.996177551204257,8.462955836146357,9.242527496422529
风,fēng,wind,8.040232057017352,8.349827822518083,8.171141875047201,8.557519005088219,7.746097065203573,8.367561909875894,8.096103014601344,8.408411972279623,8.074414052698753,8.510352598931899
日,rì,sun,7.681149962887869,8.829784000691129,7.96267787976668,9.214075068594996,7.677654540048338,8.850030746536472,7.9759903064873106,9.137994966402513,7.77420319413849,9.278615671053338
云,yún,"say, speak",8.211040564902715,8.897791342248802,8.63832999335909,9.236401341761253,8.203040822455158,8.8966805301196,8.254714467761081,9.103467002815467,8.669941720282711,9.180401417753178
有,yǒu,"have, own, possess",8.534361254382414,9.221504471949801,8.868020445041477,9.47659904258294,8.70127283461088,9.323043241800754,8.858636704036748,9.475835366000133,8.685197570252672,9.447302122772024
何,hé,"what, why, where, which, how",8.26127108682875,6.8528738954691395,8.785495708928135,7.11622479707891,8.388075345264253,6.933240201784573,8.902375493683833,7.023222819957192,8.815585919840323,6.945859429728176
来,lái,"come, coming",8.323146491569673,9.284047368400286,8.118848820485525,9.681320576896308,7.941246315741759,9.422946931419332,8.193335031291392,9.683199697484406,8.213673502507106,9.623489796499841
